papercode,bookname,chapter,quizefile,displayfield
PC08,GAR 1990,Chapter 01,pc08_gar1990_ch01,GAR 1990: Chapter 01
PC08,GAR 1990,Chapter 02,pc08_gar1990_ch02,GAR 1990: Chapter 02
PC08,GAR 1990,Chapter 03,pc08_gar1990_ch03,GAR 1990: Chapter 03
PC08,GAR 1990,"Chapter 04, 05, 06",pc08_gar1990_ch04_05_06,"GAR 1990: Chapter 04, 05, 06"
PC08,GAR 1990,"Chapter 07, 08",pc08_gar1990_ch07_08,"GAR 1990: Chapter 07, 08"
PC08,GFR 2017,Chapter 01,pc08_grf2017_ch01,GFR 2017: Chapter 01
PC08,GFR 2017,Chapter 02,pc08_grf2017_ch02,GFR 2017: Chapter 02
PC08,GFR 2017,Chapter 03,pc08_grf2017_ch03,GFR 2017: Chapter 03
PC08,GFR 2017,Chapter 04,pc08_grf2017_ch04,GFR 2017: Chapter 04
PC08,GFR 2017,Chapter 05,pc08_grf2017_ch05,GFR 2017: Chapter 05
PC08,GFR 2017,Chapter 06,pc08_grf2017_ch06,GFR 2017: Chapter 06
PC08,GFR 2017,Chapter 07,pc08_grf2017_ch07,GFR 2017: Chapter 07
PC08,GFR 2017,Chapter 08,pc08_grf2017_ch08,GFR 2017: Chapter 08
PC08,GFR 2017,Chapter 09,pc08_grf2017_ch09,GFR 2017: Chapter 09
PC08,GFR 2017,Chapter 10,pc08_grf2017_ch10,GFR 2017: Chapter 10
PC08,GFR 2017,Chapter 11,pc08_grf2017_ch11,GFR 2017: Chapter 11
PC08,GFR 2017,Chapter 12,pc08_grf2017_ch12,GFR 2017: Chapter 12
PC08,R&P 1983,Part 1,pc08_rp1983_p1,R&P 1983: Part 1
PC08,R&P 1983,Part 2,pc08_rp1983_p2,R&P 1983: Part 2
PC08,R&P 1983,Part 3 Sect 1,pc08_rp1983_p3s1,R&P 1983: Part 3 Sect 1
PC08,R&P 1983,Part 3 Sect 2,pc08_rp1983_p3s2,R&P 1983: Part 3 Sect 2
PC08,R&P 1983,Part 3 Sect 3,pc08_rp1983_p3s3,R&P 1983: Part 3 Sect 3
PC08,R&P 1983,Part 3 Sect 4,pc08_rp1983_p3s4,R&P 1983: Part 3 Sect 4
PC08,R&P 1983,Part 4,pc08_rp1983_p4,R&P 1983: Part 4
